Vancouver, Calgary, GRAY, 3
Vancouver, Seattle, GRAY, 1
Vancouver, Seattle, GRAY, 1
Calgary, Seattle, GRAY, 4
Calgary, Winnipeg, WHITE, 6
Calgary, Helena, GRAY, 4
Seattle, Helena, YELLOW, 6
Seattle, Portland, GRAY, 1
Seattle, Portland, GRAY, 1
Winnipeg, Helena, BLUE, 4
Winnipeg, Duluth, BLACK, 4
Winnipeg, Sault St. Marie, GRAY, 6
Sault St. Marie, Montreal, BLACK, 5
Duluth, Sault St. Marie, GRAY, 3
Sault St. Marie, Toronto, GRAY, 2
Montreal, Boston, GRAY, 1
Montreal, Boston, GRAY, 1
Montreal, Toronto, GRAY, 3
Montreal, New York, BLUE, 3
Boston, New York, YELLOW, 2
Boston, New York, RED, 2
Helena, Duluth, ORANGE, 6
Duluth, Toronto, PINK, 6
Portland, San Francisco, GREEN, 5
Portland, San Francisco, PINK, 5
Portland, Salt Lake City, BLUE, 6
Helena, Salt Lake City, PINK, 3
Helena, Denver, GREEN, 4
Helena, Omaha, RED, 5
Duluth, Omaha, GRAY, 2
Duluth, Omaha, GRAY, 2
Duluth, Chicago, RED, 3
Omaha, Chicago, BLUE, 4
Chicago, Pittsburgh, ORANGE, 3
Chicago, Pittsburgh, BLACK, 3
Toronto, Pittsburgh, GRAY, 2
Toronto, Chicago, WHITE, 4
Pittsburgh, New York, WHITE, 2
Pittsburgh, New York, WHITE, 2
Pittsburgh, New York, GREEN, 2
New York, Washington, BLACK, 2
New York, Washington, ORANGE, 2
San Francisco, Salt Lake City, ORANGE, 5
San Francisco, Salt Lake City, WHITE, 5
Salt Lake City, Denver, RED, 3
Salt Lake City, Denver, YELLOW, 3
Denver, Omaha, PINK, 4
San Francisco, Los Angeles, YELLOW, 3
San Francisco, Los Angeles, PINK, 3
Salt Lake City, Las Vegas, ORANGE, 3
Las Vegas, Los Angeles, GRAY, 2
Los Angeles, Phoenix, GRAY, 3
Los Angeles, El Paso, BLACK, 6
Phoenix, Denver, WHITE, 5
Phoenix, Santa Fe, GRAY, 3
Phoenix, El Paso, GRAY, 3
Denver, Santa Fe, GRAY, 2
Santa Fe, El Paso, GRAY, 2
El Paso, Houston, GREEN, 6
El Paso, Dallas, RED, 4
El Paso, Oklahoma City, YELLOW, 5
Santa Fe, Oklahoma City, BLUE, 3
Oklahoma City, Denver, RED, 4
Denver, Kansas City, BLACK, 4
Denver, Kansas City, ORANGE, 4
Omaha, Kansas City, GRAY, 1
Omaha, Kansas City, GRAY, 1
Oklahoma City, Kansas City, GRAY, 2
Oklahoma City, Kansas City, GRAY, 2
Kansas City, Saint Louis, BLUE, 2
Kansas City, Saint Louis, PINK, 2
Kansas City, Chicago, GREEN, 2
Kansas City, Chicago, WHITE, 2
Saint Louis, Pittsburgh, GREEN, 5
Pittsburgh, Washington, GRAY, 2
Pittsburgh, Saint Louis, YELLOW, 4
Saint Louis, Nashville, GRAY, 2
Pittsburgh, Raleigh, GRAY, 2
Washington, Raleigh, GRAY, 2 
Washington, Raleigh, GRAY, 2 
Nashville, Raleigh, BLACK, 3
Oklahoma City, Little Rock, GRAY, 2
Little Rock, Nashville, WHITE, 3
Oklahoma City, Dallas, GRAY, 2
Oklahoma City, Dallas, GRAY, 2
Dallas, Houston, GRAY, 1
Dallas, Houston, GRAY, 1
Dallas, Little Rock, GRAY, 2
Houston, New Orleans, GRAY, 2
Little Rock, New Orleans, GREEN, 3
New Orleans, Atlanta, YELLOW, 4
New Orleans, Atlanta, ORANGE, 4
Nashville, Atlanta, GRAY, 1
Atlanta, Raleigh, GRAY, 2
Atlanta, Raleigh, GRAY, 2
Raleigh, Charleston, GRAY, 2
Atlanta, Charleston, GRAY, 2
Charleston, Miami, PINK, 4
Atlanta, Miami, BLUE, 5
New Orleans, Miami, RED, 6
Saint Louis, Little Rock, GRAY, 2
